City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.53,20.04,63.0,67,1,4.7,ZA,2020-02-23 22:35:58
1,Busselton,-33.65,115.33,69.01,49,50,17.29,AU,2020-02-23 22:35:47
2,Punta Arenas,-53.15,-70.92,50.0,87,90,29.97,CL,2020-02-23 22:35:44
3,Bubaque,11.28,-15.83,78.8,72,19,20.18,GW,2020-02-23 22:36:43
4,Ponta Delgada,37.73,-25.67,57.2,82,20,2.24,PT,2020-02-23 22:34:25
5,Hithadhoo,-0.6,73.08,83.64,77,95,14.9,MV,2020-02-23 22:39:11
6,Brightwater,-41.38,173.12,79.0,55,0,1.99,NZ,2020-02-23 22:39:11
7,Bluff,-46.6,168.33,64.99,68,70,5.01,NZ,2020-02-23 22:34:45
8,Adeje,28.12,-16.73,73.4,38,90,10.29,ES,2020-02-23 22:39:12
9,Mahebourg,-20.41,57.7,75.2,88,20,2.24,MU,2020-02-23 22:39:12
10,Ribeira Grande,38.52,-28.7,60.8,72,75,6.93,PT,2020-02-23 22:39:12
11,Rikitea,-23.12,-134.97,80.26,67,3,7.27,PF,2020-02-23 22:39:13
12,Kiboga,0.92,31.77,73.51,62,92,2.39,UG,2020-02-23 22:39:13
13,Hofn,64.25,-15.21,40.37,63,80,23.94,IS,2020-02-23 22:39:13
14,Diffa,13.32,12.61,69.66,20,0,10.78,NE,2020-02-23 22:39:13
15,Morro Bay,35.37,-120.85,66.0,77,1,13.87,US,2020-02-23 22:39:14
16,Concordia,-31.39,-58.02,69.35,52,0,4.34,AR,2020-02-23 22:39:14
17,Mataura,-46.19,168.86,64.99,68,89,5.01,NZ,2020-02-23 22:35:46
18,Walvis Bay,-22.96,14.51,64.0,93,6,10.29,NA,2020-02-23 22:39:15
19,Coihaique,-45.58,-72.07,60.8,48,75,11.41,CL,2020-02-23 22:38:01
20,Port Elizabeth,-33.92,25.57,55.4,82,5,1.12,ZA,2020-02-23 22:37:18
21,Blagoyevo,63.37,47.92,27.91,95,100,13.02,RU,2020-02-23 22:39:16
22,Butaritari,3.07,172.79,85.08,74,55,14.45,KI,2020-02-23 22:36:12
23,Georgetown,5.41,100.34,78.8,78,20,2.24,MY,2020-02-23 22:35:53
24,Albany,42.6,-73.97,51.8,25,75,9.17,US,2020-02-23 22:35:44
25,Turbat,26.0,63.04,65.59,68,0,2.8,PK,2020-02-23 22:39:17
26,Sembe,1.65,14.58,73.33,85,100,5.35,CG,2020-02-23 22:38:13
27,Ushuaia,-54.8,-68.3,44.6,100,75,24.16,AR,2020-02-23 22:39:17
28,Sivaki,52.63,126.75,4.78,96,98,6.44,RU,2020-02-23 22:39:18
29,Shimoda,34.67,138.95,46.0,58,0,1.01,JP,2020-02-23 22:39:12
30,Vaini,-21.2,-175.2,82.4,88,75,9.17,TO,2020-02-23 22:35:52
31,Divnomorskoye,44.5,38.14,45.03,81,100,22.24,RU,2020-02-23 22:39:18
32,Concepcion Del Oro,24.63,-101.42,72.34,22,34,19.22,MX,2020-02-23 22:39:19
33,Half Moon Bay,37.46,-122.43,64.99,71,75,21.92,US,2020-02-23 22:38:39
34,Jamestown,42.1,-79.24,51.8,26,1,14.99,US,2020-02-23 22:34:23
35,Chara,56.91,118.26,0.84,69,96,3.91,RU,2020-02-23 22:37:28
36,Ribeira Brava,32.65,-17.07,68.0,52,20,18.34,PT,2020-02-23 22:39:20
37,Kusti,13.16,32.66,71.35,15,0,12.88,SD,2020-02-23 22:39:20
38,Castro,-24.79,-50.01,60.84,86,87,8.93,BR,2020-02-23 22:34:26
39,Hobart,-42.88,147.33,63.0,77,75,4.7,AU,2020-02-23 22:35:41
40,Port Lincoln,-34.73,135.87,73.04,58,0,5.7,AU,2020-02-23 22:36:34
41,Cururupu,-1.83,-44.87,74.55,96,40,2.06,BR,2020-02-23 22:39:21
42,Novobirilyussy,56.95,90.67,14.45,96,73,2.04,RU,2020-02-23 22:39:22
43,Pamplona,42.82,-1.64,51.01,70,0,3.36,ES,2020-02-23 22:37:24
44,Aviles,43.55,-5.92,51.01,93,75,2.24,ES,2020-02-23 22:39:23
45,Tuktoyaktuk,69.45,-133.04,-5.8,70,90,16.11,CA,2020-02-23 22:36:54
46,Dejen,10.17,38.13,68.45,35,98,2.68,ET,2020-02-23 22:39:24
47,Chuy,-33.7,-53.46,65.05,72,14,10.65,UY,2020-02-23 22:33:35
48,Ilulissat,69.22,-51.1,-0.4,59,9,9.17,GL,2020-02-23 22:36:14
49,Cape Town,-33.93,18.42,66.99,63,0,23.04,ZA,2020-02-23 22:33:57
50,Kapaa,22.08,-159.32,80.6,54,1,9.17,US,2020-02-23 22:35:54
51,Carnarvon,-24.87,113.63,68.0,94,0,4.7,AU,2020-02-23 22:36:28
52,Orlik,52.52,99.83,-1.34,99,96,0.31,RU,2020-02-23 22:39:26
53,Olafsvik,64.89,-23.71,32.13,95,100,4.94,IS,2020-02-23 22:37:42
54,Florence,43.77,11.25,54.0,87,75,2.24,IT,2020-02-23 22:35:35
55,Nelson Bay,-32.72,152.15,73.99,88,75,4.7,AU,2020-02-23 22:36:18
56,Matagami,49.75,-77.63,37.4,64,75,11.41,CA,2020-02-23 22:39:27
57,Guanare,9.04,-69.74,84.13,50,22,4.5,VE,2020-02-23 22:39:27
58,Axim,4.87,-2.24,78.89,92,91,3.06,GH,2020-02-23 22:36:17
59,Trincomalee,8.57,81.23,72.52,94,95,2.84,LK,2020-02-23 22:34:42
60,Arraial Do Cabo,-22.97,-42.03,77.0,65,75,4.7,BR,2020-02-23 22:36:08
61,Vestmannaeyjar,63.44,-20.27,39.76,74,100,30.27,IS,2020-02-23 22:39:28
62,Clyde River,70.47,-68.59,-20.2,75,90,6.93,CA,2020-02-23 22:31:40
63,San Quintin,30.48,-115.95,58.93,74,0,19.01,MX,2020-02-23 22:36:41
64,Nyurba,63.28,118.33,-2.76,94,96,7.54,RU,2020-02-23 22:39:29
65,Saint-Philippe,-21.36,55.77,75.2,73,6,6.93,RE,2020-02-23 22:30:53
66,Tocopilla,-22.09,-70.2,61.5,53,3,4.16,CL,2020-02-23 22:36:26
67,Danilovka,50.36,44.12,33.94,98,100,18.75,RU,2020-02-23 22:39:30
